fecha,hotel,year,canal,ocup_total,shap_value,family
2023-04-10,HOTEL_1,2023,is_weekend,0.2553191489361702,-7.620355e-05,calendario
2023-04-11,HOTEL_1,2023,is_weekend,0.2872340425531915,0.0005148937,calendario
2023-04-12,HOTEL_1,2023,is_weekend,0.3723404255319149,-0.0001221652,calendario
2023-04-13,HOTEL_1,2023,is_weekend,0.2127659574468085,-0.00034257045,calendario
2023-04-14,HOTEL_1,2023,is_weekend,0.2872340425531915,0.00042824144,calendario
2023-04-15,HOTEL_1,2023,is_weekend,0.46808510638297873,-0.001260794,calendario
2023-04-16,HOTEL_1,2023,is_weekend,0.44680851063829785,-0.0019810207,calendario
2023-04-17,HOTEL_1,2023,is_weekend,0.5425531914893617,0.0014350178,calendario
2023-04-18,HOTEL_1,2023,is_weekend,0.5638297872340425,0.00056126586,calendario
2023-04-19,HOTEL_1,2023,is_weekend,0.48936170212765956,0.00014293332,calendario
2023-04-20,HOTEL_1,2023,is_weekend,0.40425531914893614,0.00048620004,calendario
2023-04-21,HOTEL_1,2023,is_weekend,0.3829787234042553,6.500431e-05,calendario
2023-04-22,HOTEL_1,2023,is_weekend,0.8191489361702128,-0.0014073056,calendario
2023-04-23,HOTEL_1,2023,is_weekend,0.6063829787234043,-0.0017881828,calendario
2023-04-24,HOTEL_1,2023,is_weekend,0.5,0.0005766558,calendario
2023-04-25,HOTEL_1,2023,is_weekend,0.43617021276595747,-9.893681e-05,calendario
2023-04-26,HOTEL_1,2023,is_weekend,0.43617021276595747,0.00041413063,calendario
2023-04-27,HOTEL_1,2023,is_weekend,0.425531914893617,0.00025801806,calendario
2023-04-28,HOTEL_1,2023,is_weekend,0.5212765957446809,0.00029746885,calendario
2023-04-29,HOTEL_1,2023,is_weekend,0.6595744680851063,-0.0012964114,calendario
2023-04-30,HOTEL_1,2023,is_weekend,0.5851063829787234,-0.0008642313,calendario
2023-05-01,HOTEL_1,2023,is_weekend,0.3617021276595745,0.0001245726,calendario
2023-05-02,HOTEL_1,2023,is_weekend,0.48936170212765956,0.0005871222,calendario
2023-05-03,HOTEL_1,2023,is_weekend,0.648936170212766,0.002283063,calendario
2023-05-04,HOTEL_1,2023,is_weekend,0.6702127659574468,0.0012850761,calendario
2023-05-05,HOTEL_1,2023,is_weekend,0.6063829787234043,0.0005087653,calendario
2023-05-06,HOTEL_1,2023,is_weekend,0.5212765957446809,3.0086198e-05,calendario
2023-05-07,HOTEL_1,2023,is_weekend,0.43617021276595747,-0.0021126075,calendario
2023-05-08,HOTEL_1,2023,is_weekend,0.5531914893617021,0.0016536012,calendario
2023-05-09,HOTEL_1,2023,is_weekend,0.5957446808510638,0.0005040393,calendario
2023-05-10,HOTEL_1,2023,is_weekend,0.5425531914893617,0.00071699894,calendario
2023-05-11,HOTEL_1,2023,is_weekend,0.6382978723404256,0.0013475346,calendario
2023-05-12,HOTEL_1,2023,is_weekend,0.7340425531914894,0.0013013708,calendario
2023-05-13,HOTEL_1,2023,is_weekend,0.6595744680851063,-0.0015121433,calendario
2023-05-14,HOTEL_1,2023,is_weekend,0.5319148936170213,-0.0016510955,calendario
2023-05-15,HOTEL_1,2023,is_weekend,0.6808510638297872,0.001235156,calendario
2023-05-16,HOTEL_1,2023,is_weekend,0.7340425531914894,0.0012589953,calendario
2023-05-17,HOTEL_1,2023,is_weekend,0.6808510638297872,0.0016974113,calendario
2023-05-18,HOTEL_1,2023,is_weekend,0.5851063829787234,0.0011593265,calendario
2023-05-19,HOTEL_1,2023,is_weekend,0.6702127659574468,0.00136582,calendario
2023-05-20,HOTEL_1,2023,is_weekend,0.5531914893617021,-0.002731471,calendario
2023-05-21,HOTEL_1,2023,is_weekend,0.43617021276595747,0.00085628487,calendario
2023-05-22,HOTEL_1,2023,is_weekend,0.574468085106383,0.0012527254,calendario
2023-05-23,HOTEL_1,2023,is_weekend,0.6914893617021277,0.0011461471,calendario
2023-05-24,HOTEL_1,2023,is_weekend,0.7021276595744681,0.0024199842,calendario
2023-05-25,HOTEL_1,2023,is_weekend,0.5319148936170213,0.00070489495,calendario
